date_id,arrival_date,year,month,month_name,day,quarter,is_weekend
20160506,2016-05-06,2016,5,May,6,2,False
20160507,2016-05-07,2016,5,May,7,2,True
20160508,2016-05-08,2016,5,May,8,2,True
20160509,2016-05-09,2016,5,May,9,2,False
20160510,2016-05-10,2016,5,May,10,2,False
20160511,2016-05-11,2016,5,May,11,2,False
20160512,2016-05-12,2016,5,May,12,2,False
20160513,2016-05-13,2016,5,May,13,2,False
20160514,2016-05-14,2016,5,May,14,2,True
20160515,2016-05-15,2016,5,May,15,2,True
20160516,2016-05-16,2016,5,May,16,2,False
20160517,2016-05-17,2016,5,May,17,2,False
20160518,2016-05-18,2016,5,May,18,2,False
20160519,2016-05-19,2016,5,May,19,2,False
20160520,2016-05-20,2016,5,May,20,2,False
20160521,2016-05-21,2016,5,May,21,2,True
20160522,2016-05-22,2016,5,May,22,2,True
20160523,2016-05-23,2016,5,May,23,2,False
20160524,2016-05-24,2016,5,May,24,2,False
20160525,2016-05-25,2016,5,May,25,2,False
20160526,2016-05-26,2016,5,May,26,2,False
20160527,2016-05-27,2016,5,May,27,2,False
20160528,2016-05-28,2016,5,May,28,2,True
20160529,2016-05-29,2016,5,May,29,2,True
20160530,2016-05-30,2016,5,May,30,2,False
20160531,2016-05-31,2016,5,May,31,2,False
20160601,2016-06-01,2016,6,June,1,2,False
20160602,2016-06-02,2016,6,June,2,2,False
20160603,2016-06-03,2016,6,June,3,2,False
20160604,2016-06-04,2016,6,June,4,2,True
20160605,2016-06-05,2016,6,June,5,2,True
20160606,2016-06-06,2016,6,June,6,2,False
20160607,2016-06-07,2016,6,June,7,2,False
20160608,2016-06-08,2016,6,June,8,2,False
20160609,2016-06-09,2016,6,June,9,2,False
20160610,2016-06-10,2016,6,June,10,2,False
20160611,2016-06-11,2016,6,June,11,2,True
20160612,2016-06-12,2016,6,June,12,2,True
20160613,2016-06-13,2016,6,June,13,2,False
20160614,2016-06-14,2016,6,June,14,2,False
20160615,2016-06-15,2016,6,June,15,2,False
20160616,2016-06-16,2016,6,June,16,2,False
20160617,2016-06-17,2016,6,June,17,2,False
20160618,2016-06-18,2016,6,June,18,2,True
20160619,2016-06-19,2016,6,June,19,2,True
20160620,2016-06-20,2016,6,June,20,2,False
20160621,2016-06-21,2016,6,June,21,2,False
20160622,2016-06-22,2016,6,June,22,2,False
20160623,2016-06-23,2016,6,June,23,2,False
20160624,2016-06-24,2016,6,June,24,2,False
20160625,2016-06-25,2016,6,June,25,2,True
20160626,2016-06-26,2016,6,June,26,2,True
20160627,2016-06-27,2016,6,June,27,2,False
20160628,2016-06-28,2016,6,June,28,2,False
20160629,2016-06-29,2016,6,June,29,2,False
20160630,2016-06-30,2016,6,June,30,2,False
20160701,2016-07-01,2016,7,July,1,3,False
20160702,2016-07-02,2016,7,July,2,3,True
20160703,2016-07-03,2016,7,July,3,3,True
20160704,2016-07-04,2016,7,July,4,3,False
20160705,2016-07-05,2016,7,July,5,3,False
20160706,2016-07-06,2016,7,July,6,3,False
20160707,2016-07-07,2016,7,July,7,3,False
20160708,2016-07-08,2016,7,July,8,3,False
20160709,2016-07-09,2016,7,July,9,3,True
20160710,2016-07-10,2016,7,July,10,3,True
20160711,2016-07-11,2016,7,July,11,3,False
20160712,2016-07-12,2016,7,July,12,3,False
20160713,2016-07-13,2016,7,July,13,3,False
20160714,2016-07-14,2016,7,July,14,3,False
20160715,2016-07-15,2016,7,July,15,3,False
20160716,2016-07-16,2016,7,July,16,3,True
20160717,2016-07-17,2016,7,July,17,3,True
20160718,2016-07-18,2016,7,July,18,3,False
20160719,2016-07-19,2016,7,July,19,3,False
20160720,2016-07-20,2016,7,July,20,3,False
20160721,2016-07-21,2016,7,July,21,3,False
20160722,2016-07-22,2016,7,July,22,3,False
20160723,2016-07-23,2016,7,July,23,3,True
20160724,2016-07-24,2016,7,July,24,3,True
20160725,2016-07-25,2016,7,July,25,3,False
20160726,2016-07-26,2016,7,July,26,3,False
20160727,2016-07-27,2016,7,July,27,3,False
20160728,2016-07-28,2016,7,July,28,3,False
20160729,2016-07-29,2016,7,July,29,3,False
20160730,2016-07-30,2016,7,July,30,3,True
20160731,2016-07-31,2016,7,July,31,3,True
20160801,2016-08-01,2016,8,August,1,3,False
20160802,2016-08-02,2016,8,August,2,3,False
20160803,2016-08-03,2016,8,August,3,3,False
20160804,2016-08-04,2016,8,August,4,3,False
20160805,2016-08-05,2016,8,August,5,3,False
20160806,2016-08-06,2016,8,August,6,3,True
20160807,2016-08-07,2016,8,August,7,3,True
20160808,2016-08-08,2016,8,August,8,3,False
20160809,2016-08-09,2016,8,August,9,3,False
20160810,2016-08-10,2016,8,August,10,3,False
20160811,2016-08-11,2016,8,August,11,3,False
20160812,2016-08-12,2016,8,August,12,3,False
20160813,2016-08-13,2016,8,August,13,3,True
20160814,2016-08-14,2016,8,August,14,3,True
20160815,2016-08-15,2016,8,August,15,3,False
